A- :  without or lack of
AB- :  away (away from)
-ABLE :  capable of or ability to
ABORT/IO- :  to miscarry (natural or induced)
ABRUPT/IO- :  to tear away from
ABSCESS :  a going away
ACNE :  pointed
ACOUST/I- :  hearing
ACR/O- :  extremities, height, and pointed
ACTIN/O- :  sun, ray, radium
ACU- :  sharp
-AC :  refers to, pertains to, or state of
AD- :  near or beside
ADEN/O- :  gland
ADIP/O- :  fat
AER/O- :  air or gas
AF- :  toward
ALB/O- :  white
ALGES/I- :  pain
-ALGIA :  pain
ALOPEC/I- :  fox mange or baldness
ALVEOL/I- :  cavity
AMBI- :  both
AMBUL/O- :  to walk
AMPHI- :  both
AMYLO- :  starch
AN- :  lack of or without
AN/O- :  ring
ANA- :  apart or up
ANGI/O- :  vessel
ANGIN/O- :  Vessel
ANKYL/O- :  fuse or bind
ANTE- :  before
ANTER/O- :  before or foremost
ANTHRAX :  coal or carbuncle
ANTI- :  against
ANEURYSM- :  dilation or ballooning
-APHERESIS :  to remove or separate (blood into parts)
APO- :  above or upon
AQUA- :  water
ARACHINO- :  spider
ARCHE/O- :  first
-ARIA :  air
ARTERI/O- :  artery
ARTHR/O- :  joint
ARTICUL/O- :  jointed
-AR :  refers to or pertains to
ASCAR/I- :  worm
-ASE :  enzyme
-ASTHENIA :  weakness
ASTHMA- :  panting
ATELO- :  incomplete, without end, imperfect ending
ATHERO- :  porridge or yellow fat
-ATION :  process of or procedure of
-ATRESIA :  closure
ATRI/O- :  chamber
ATTRIT/I- :  wearing out
AUDI- :  hearing
AUR/I- :  ear
AUSCULT/O- :  to listen
AUTO- :  self
AVULS/I- :  to tear
BACILL/O- :  rod-like
BACTERI/O- :  rod
BALAN/O- :  penis
BARO- :  weight
BAS/O- :  basic or at base
BENE- :  good or normal
BENIGN- :  kind
BERI- :  weakness
BI- :  two
BIL/I- :  bile or gall
BIN- :  two
BIO- :  life
-BLAST :  beginning or young
BLEB/O- :  blister
BLENNO- :  mucus
BLEPHARO- :  eyelid
BOL/O- :  lump or ball
BRACH/I- :  arm
BRACHY- :  short
BRADY- :  slow
BREVI- :  short
BRONCH/I- :  windpipe or trachea-like
BRUX- :  grinding
BUCCA- :  cheek
BULBA :  blister or vesicle
BULIMO- :  hunger
BURS/O- :  sac, wine sac, pouch
CAL/O- :  heat, heated or hot
CALCIN/O- :  calcium
CALCO- :  pebbles or granules of calcium mineral
CALX- :  heel or lime
CANDID/I- :  glowing white
CANTH/O- :  corner of eye
CAPILL/O- :  hair-like
CAPIT/O- :  head
CAPN/O- :  carbon dioxide
CAPUT :  head
CARBUN/O- :  glowing ember
CARCIN/O- :  crab-like
CARDI/O- :  heart
CARP/O- :  wrist
CATA- :  breakdown or down
CATARACT :  waterfall or cloudiness
CATARRH- :  to flow down
CATHETER/O- :  to let down into
CAUD/O- :  tail or toward tail
CAUST/O- :  burn or heat
CAUTER/O- :  to burn or to heat
CAV- :  hollow
CEBO- :  meal or food
CEC/O- :  blind pouch
-CELE :  swelling or tumor
CELI/O- :  abdomen or belly
CELLUL/O- :  chambers
CEMENT/O- :  hard
-CENTESIS :  surgical puncture to drain fluid
CENTI- :  one-hundredth part (100)
CENTR/I- :  center
CEPHAL/O- :  head
-CEPT- :  receiver
CEREBR/O- :  brain
CERU- :  wax
CERV/I- :  neck
CHALAZ/IO- :  hailstone
CHANCR/O- :  ulcer (sore)
CHEIL/O- :  lip
CHIRO- :  hand
CHLOR/O- :  green
CHOLANGIO- :  bile duct
CHOLE- :  bile or gall
CHOLECYST/O- :  gallbladder
